,X_CCF,Y_CCF,Z_CCF
461,-24071.799779871304,-57023.15000278479,-367811.2493397494
462,-24366.17739516686,-56447.692340771566,-373518.1435087502
463,-24735.397590033503,-55966.91225896124,-379237.6601447685
464,-25128.33491369328,-55528.24691918441,-384951.03501271986
465,-25575.18822753209,-55182.79648233699,-390676.703880701
466,-26022.98284961422,-54852.873572857534,-396387.5863682377
467,-26523.298413779445,-54644.80659438647,-402122.4936463568
468,-26992.853009938706,-54377.49051683681,-407815.9545914079
469,-27529.2467504671,-54328.56101997043,-413572.56650204706
470,-28046.402566250792,-54275.408578228766,-419310.7792626939
471,-28557.02882370632,-54255.58533443565,-425045.55541221966
472,-29060.208487638927,-54274.60799740622,-430780.2929733072
473,-29554.601851845146,-54307.58912215612,-436504.7919713143
474,-30031.722467611915,-54422.17972608391,-442252.73308971967
